ID,materia,codigocodif_V1,unidad,cantidad_co,valor_co,cantidad_uti,valor_uti
35588.0,OTRAS MATERIAS PRIMAS,99999994,VALOR,0.0,15155952.11,0.0,15155951.0
39032.0,EMULSION NATURAL DE LIMON,35499043,LITRO,3449.0,446845.0,2592.9113406214683,335932.0
39729.0,VARIOS,99999994,VALOR,0.0,233261.0,0.0,233261.0
39975.0,CARNES,211,KILOGRAMO,11739.0,540000.0,11739.0,540000.0
39975.0,BEBIDAS,24,LITRO,316364.0,1740000.0,316364.0,1740000.0
39975.0,ENLATADOS,99999994,UNIDAD,5750.0,115000.0,5750.0,115000.0
39975.0,OTROS,99999994,VALOR,0.0,284253.0,0.0,284253.0
42312.0,SABANAS,27120001,PIEZA,10.0,8000.0,10.0,8000.0
42312.0,CAMILLA PARA PACIENTE,48180007,PIEZA,20.0,30000.0,20.0,30000.0
42312.0,CAMAS,48180007,PIEZA,10.0,18000.0,10.0,18000.0
42312.0,SILLAS DE RUEDAS,49922000,PIEZA,10.0,13000.0,10.0,13000.0
43501.0,VARIOS,99999994,VALOR,0.0,8014618.0,0.0,7354979.800000001
43706.0,VARIOS,99999994,VALOR,0.0,0.0,0.0,15650.0
45264.0,CALIZA MARMOLADA,15120,TONELADA MÉTRICA,2627.0,866910.0,1701.3836924582579,561456.6185112251
45264.0,PIEDRA CALIZA,15120003,TONELADA MÉTRICA,21409.0,942996.0,13865.597058179992,610733.9232787846
45264.0,CALIZA BLANCA,15120003,TONELADA MÉTRICA,972.0,155520.0,629.5184427367441,100722.95083787905
45264.0,BARITINA,16190002,TONELADA MÉTRICA,6755.0,1013254.0,4374.894115932824,656236.7080007992
45264.0,HILO,26350000,UNIDAD,50.0,4850.0,32.382635943248154,3141.115686495071
45264.0,MAXISACOS,27150999,PIEZA,2070.0,134550.0,1340.6411280504735,87141.67332328077
45264.0,FILM STRETCH,36330003,UNIDAD,108.0,14364.0,69.94649363741601,9302.883653776329
45264.0,PLÁSTICO TERMOCONTRAÍBLE,36330003,KILOGRAMO,7031.0,178858.0,4553.646266339555,115837.86999074955
45264.0,BOLSA POLIPROPILENO,36410,PIEZA,379068.0,791494.0,245504.42083470378,512613.241065305
45264.0,BOLSAS DE POLIETILENO,36410,PIEZA,10000.0,5568.0,6476.52718864963,3606.130338640114
45264.0,SUNCHO,36490023,ROLLO,142.0,99400.0,91.96668607882475,64376.68025517732
45264.0,PLAQUETAS,99999994,KILOGRAMO,174.0,6090.0,112.69157308250357,3944.2050578876247
46002.0,VARIOS,99999994,VALOR,0.0,4666891.849134151,0.0,4666891.849134151
46248.0,MATERIALES DE CONSTRUCCIÓN,99999994,VALOR,0.0,4819877.0,0.0,3995568.0
46330.0,VARIOS MATERIALES DE CONSTRUCCIÓN,99999994,VALOR,0.0,6473652.0,0.0,6473652.0
46412.0,CHATARRA,39340,KILOGRAMO,227231.0,5680763.0,227231.0,5680763.0
48339.0,INSUMOS ALIMENTICIOS PARA INTERNOS EN CLÍNICA,99999994,VALOR,0.0,19759.0,0.0,19759.0
53341.0,TUBERIAS,36320001,METRO (LINEAL),23342.0,1812770.0,23342.0,1812770.0
53341.0,CERAMICA,37370,METRO CUADRADO,41624.0,2172790.0,41624.0,2172790.0
53341.0,CEMENTO,37440001,OTROS,350587.0,14794760.0,266400.0,11242070.0
53341.0,HORMIGON,37510002,METRO CÚBICO,4196.0,2701525.0,4196.0,2701525.0
53341.0,FIERRO,41261005,BARRA,384415.0,14684640.0,285815.0,10918120.0
53341.0,CALAMINA,42190015,OTROS,52.0,1404920.0,45.0,1216117.0
53341.0,ALAMBRE,42946003,OTROS,9690.0,2487900.0,9690.0,2487900.0
56129.0,ARENA,15310,VALOR,0.0,81800.0,0.0,81800.0
56129.0,LADRILLO,37350002,VALOR,0.0,26000.0,0.0,26000.0
56129.0,CEMENTO,37440001,VALOR,0.0,83250.0,0.0,83250.0
56129.0,FIERRO DE CONSTRUCCIÓN,41261005,VALOR,0.0,113500.0,0.0,113500.0
56129.0,OTROS,99999994,VALOR,0.0,247657.0,0.0,247657.0
64083.0,VARIOS,99999994,VALOR,0.0,149008.05892971475,0.0,149008.05892971475
65600.0,VARIOS,99999994,VALOR,0.0,11048435.0,0.0,11286335.0
65682.0,VARIOS,99999994,VALOR,0.0,4058501.5586988037,0.0,4058501.5586988037
65928.0,LADRILLO,37350002,UNIDAD,31556.0,94668.0,31556.0,94668.0
65928.0,CERÁMICA PORCELANA TO,37370006,OTROS,3449.0,1724595.0,3449.0,1724595.0
65928.0,CEMENTO-,37440001,UNIDAD,57173.0,2801489.0,57173.0,2801489.0
65928.0,FIERRO,41261005,BARRA,10918.0,1288369.0,10918.0,1288369.0
65928.0,OTROS,99999994,VALOR,0.0,1482417.0,0.0,1324650.0
66461.0,INSUMOS VARIOS,99999994,VALOR,0.0,10506900.0,0.0,10506900.0
67158.0,ALMENDRA O CASTAÑA CON CASCARA,0137,KILOGRAMO,644013.0,18024951.0,647619.0181273725,18125878.0
68511.0,MATERIAL DE CONSTRUCCION,99999994,VALOR,0.0,8971780.0,0.0,4633512.0
70315.0,PAPEL,32129001,VALOR,0.0,11626084.0,0.0,7018916.0
70766.0,VARIOS,99999994,VALOR,0.0,2508654.3667834317,0.0,2508654.3667834317
74169.0,CEMENTO(BOLSAS DE 48 K),37440001,UNIDAD,81094.0,3730318.0,81094.0,3730318.0
74169.0,FIERRO,41261005,BARRA,19429.0,1554230.0,19429.0,1554230.0
74169.0,OTROS MATERIALES DE CONSTRUCCION,99999994,VALOR,0.0,932579.0,0.0,932579.0
74169.0,MATERIALES Y SUMINISTOS,99999994,VALOR,0.0,106136.0,0.0,106136.0
74169.0,MATERIAL DE INSTALACION,99999994,VALOR,0.0,901418.0,0.0,901418.0
74169.0,OTROS MATERIALES,99999994,VALOR,0.0,71.0,0.0,71.0
77490.0,CARPETAS DE TRAMITE,32700005,UNIDAD,2814.0,253344.0,2814.0,253344.0
80278.0,PINTURA Y ACCESORIOS,35110,VALOR,0.0,1270339.0,0.0,1387830.399876128
80278.0,MATERIAL SANITARIO,37210,VALOR,0.0,269478.0,0.0,294401.54202761565
80278.0,MATERIAL DE PLOMERÍA,41293006,VALOR,0.0,2158659.0,0.0,2358309.540340179
80278.0,MATERIAL ELÉCTRICO,99999994,VALOR,0.0,42127833.0,0.0,46024161.51775608
82082.0,"PAPELES, TINTAS",99999993,VALOR,0.0,3527760.0,0.0,3704254.0
82902.0,CEREALES EN GENERAL,011,QUINTAL,200.0,70000.0,200.0,70000.0
82902.0,GRANO DE TOJORI,01122001,QUINTAL,300.0,72000.0,300.0,72000.0
82902.0,VERDURAS DESHIDRATADAS,21393001,QUINTAL,5.0,23000.0,5.0,23000.0
82902.0,MANI,21421000,QUINTAL,70.0,31500.0,70.0,31500.0
82902.0,HARINA AMARILLA BLANDA,23120002,QUINTAL,850.0,246500.0,850.0,246500.0
82902.0,HARINA MORADA,23120002,QUINTAL,600.0,210000.0,600.0,210000.0
82902.0,HARINA DE AMARANTO,23120004,QUINTAL,200.0,110000.0,200.0,110000.0
82902.0,HARINA DE QUINUA,23120005,QUINTAL,300.0,180000.0,300.0,180000.0
82902.0,ARROZ,23161002,QUINTAL,350.0,112000.0,350.0,112000.0
82902.0,AZUCAR,23520001,QUINTAL,2000.0,400000.0,2000.0,400000.0
82902.0,FIDEO,23710,QUINTAL,150.0,46500.0,150.0,46500.0
82902.0,ESPECIAS,2392,QUINTAL,4.0,24000.0,4.0,24000.0
82902.0,CONDIMENTOS EN GENERAL,23995,QUINTAL,6.0,24840.0,6.0,24840.0
82902.0,OTROS,99999994,QUINTAL,15.0,6750.0,15.0,6750.0
82902.0,OTROS MATERIALES,99999994,VALOR,0.0,6854390.0,0.0,6854390.0
85239.0,VARIOS,99999994,VALOR,0.0,0.0,0.0,56212.0
97129.0,INSUMOS VARIOS,99999994,VALOR,0.0,249634.0,0.0,236914.0
115907.0,VARIOS,99999994,VALOR,0.0,712789.9539031348,0.0,712789.9539031348
116727.0,VARIOS,99999994,VALOR,0.0,0.0,0.0,410898.0
135013.0,CARNE DE VACUNO,21111002,KILOGRAMO,43604.0,937486.0,45620.0,980830.0
135013.0,CARNE DE CERDO,21113001,KILOGRAMO,123684.0,2659206.0,131622.0,2829873.0
135013.0,CARNE DE POLLO,21121000,KILOGRAMO,4201.0,67216.0,4201.0,67216.0
135013.0,TRIPAS,2115,KILOGRAMO,9344.0,40833.0,14264.0,62334.0
135013.0,ALMIDON,23220,KILOGRAMO,11250.0,99000.0,16847.0,148253.0
135013.0,CONDIMENTOS,23929002,KILOGRAMO,4536.0,55520.0,8260.0,101102.0
135013.0,HILOS,26350000,KILOGRAMO,225.0,13500.0,285.0,17100.0
135013.0,ENVASES,36410003,KILOGRAMO,11661.0,326508.0,11042.0,309176.0
137022.0,INSUMOS VARIOS,99999994,VALOR,0.0,303279.0,0.0,303279.0
137432.0,PAPEL,32129001,UNIDAD,13300.0,6731873.0,6501.230814887278,3290636.104474261
137432.0,PLACAS,32800002,UNIDAD,3800.0,1923392.0,1857.4954842781456,940182.0932886081
137432.0,TINTA,35130,KILOGRAMO,1900.0,961696.0,928.7472592696113,470090.8022371306
146288.0,"MATERIALES E INSUMOS DE LIMPIEZA (DETERGENTES, FRANELAS, PAPEL HIGIÉNICO, CERAS Y OTROS)",99999993,VALOR,0.0,2866872.0,0.0,2866872.0
153135.0,"ARENA , ARENILLA Y RIPIO",153,METRO CÚBICO,16386.0,114701.0,16386.0,114701.0
153135.0,MADERA DE CONSTRUCCION,31330,VALOR,0.0,19751.0,0.0,19751.0
153135.0,PINTURAS,35110,VALOR,0.0,30301.0,0.0,30301.0
153135.0,CEMENTO,37440003,KILOGRAMO,18601.0,874242.0,14314.0,672753.0
153135.0,MATERIAL DE CONSTRUCCION Y PAVIMIENTACION,99999993,VALOR,0.0,321032.0,0.0,321032.0
153135.0,MATERIAL DE FERRETERIA,99999994,VALOR,0.0,26796.0,0.0,26796.0
153135.0,OTROS MATERIALES DE CONSTRUCCION,99999994,VALOR,0.0,651701.0,0.0,651701.0
155800.0,"ENVASES, EMBALAJES y OTROS INSUMOS",99999994,VALOR,0.0,1924.0,0.0,1924.0
165681.0,AGREGADOS,153,VALOR,0.0,83017.0,0.0,83017.0
165681.0,MADERA,31330,VALOR,0.0,23058.0,0.0,23058.0
165681.0,PLASTOFORMO,36950021,PIEZA,1.0,299.0,1.0,299.0
165681.0,LADRILLO,37350002,VALOR,0.0,3035.0,0.0,3035.0
165681.0,CERAMICA,37370,VALOR,0.0,8858.0,0.0,8858.0
165681.0,CEMENTO,37440001,VALOR,0.0,728509.0,0.0,728509.0
165681.0,HORMIGON,37510002,VALOR,0.0,50669.0,0.0,50669.0
165681.0,PRODUCTOS EN FIERRO Y ALAMBRES,412,VALOR,0.0,319799.0,0.0,319799.0
165681.0,FIERRO-PLACHAS,41212001,VALOR,0.0,1231455.0,0.0,1231455.0
165681.0,MATERIAL DE PLOMERIA,41293006,VALOR,0.0,88470.0,0.0,88470.0
165681.0,CALAMINAS,42190015,VALOR,0.0,218252.0,0.0,218252.0
165681.0,EQUIPOS COMPLEMENTARIOS,99999994,VALOR,0.0,72397.0,0.0,72397.0
168674.0,ALCOHOL,34131004,LITRO,90430.16214512104,994731.7835963315,90813.7999874289,998951.7998617179
168674.0,AMOXICILINA,35250005,KILOGRAMO,26.349114844149486,7472.608969800795,22.660238765968558,6426.443714028684
168674.0,DICLOXACILINA,35250005,KILOGRAMO,2.634911484414949,983.8601388116355,3.293639355518686,1229.823856058802
168674.0,IBUPROFENO,35260002,KILOGRAMO,0.2634911484414949,38.96507103152827,115.93610531425774,17.142734117603656
168674.0,ESTUCHES,36490005,UNIDAD,25773.281288345446,4009.117950173753,15463.968773007266,2405.468662175064
168674.0,FRASCOS,36490016,UNIDAD,25773.281288345446,16704.664273850765,15463.96877300727,10022.797510345867
172241.0,INSUMOS VARIOS,99999994,VALOR,0.0,11519957.0,0.0,11519957.0
176054.0,INSUMOS VARIOS,99999994,VALOR,0.0,4704474.625139765,0.0,4704474.625139765
188764.0,BIDONES,36490012,UNIDAD,603500.0,715832.0,622152.0,720626.0
195488.0,POLIETILENO DE ALTA DENSIDAD,34710001,KILOGRAMO,663025.0,6208154.0,626494.0,5951201.0
195488.0,POLIETILENO DE BAJA DENSIDAD,34710001,KILOGRAMO,396000.0,1732500.0,161529.0,1746953.0
195488.0,POLIPROPILENO,34790011,KILOGRAMO,272250.0,2178000.0,222717.0,1811619.0
195488.0,OTROS MATERIALES,99999994,VALOR,0.0,256604.0,0.0,241163.08264834434
201228.0,"MADERA (TABLA) 200X0,40",3110,PIEZA,2020.0,80803.0,2020.0,80803.0
201228.0,LADRILLO,37350002,PIEZA,242411.0,242411.0,242411.0,242411.0
201228.0,CEMENTO,37440001,UNIDAD,16490.0,808037.0,16490.0,808037.0
201228.0,FIERRO CORRUGADO,41261005,BARRA,339.0,2828132.0,339.0,2828132.0
201228.0,"CALAMINA N°26 DE 2,45MT.",42190015,UNIDAD,869.0,80804.0,869.0,80804.0
201925.0,CEMENTO,37440001,UNIDAD,338840.0,15475000.0,333680.0,15239340.0
201925.0,OTROS MATERIALES,99999994,VALOR,0.0,12863045.0,0.0,13098705.0
210125.0,"LONAS PVC,  MATERIAL DE IMPRESIÓN VARIADO, FIERROS, TINTAS",99999993,METRO (LINEAL),10000.0,1294193.0,9946.754463978712,1287302.0
233823.0,"ENVASES, EMBALAJES y OTROS INSUMOS",99999994,VALOR,0.0,162342.0,0.0,162342.0
234028.0,ACCESORI PVC ANILLO SBRJE,36320017,PIEZA,725.0,4100.0,725.0,4100.0
234028.0,LADRILLO DE 6 HUECOS,37350002,PIEZA,65172.0,65150.0,65172.0,65150.0
234028.0,CEMENTO,37440001,OTROS,13936.0,610012.0,13936.0,610012.0
234028.0,CEMENTO,37440001,TONELADA MÉTRICA,1300.0,1323270.0,1300.0,1323270.0
234028.0,"FIERRO CORRUGADO DE 1/4"" - 6MM",41261005,BARRA,1242.0,17428.0,1242.0,17428.0
234028.0,CALAMINA DE 0.35MM,42190015,METRO (LINEAL),1300.0,32637.0,1300.0,32637.0
234028.0,ALAMBRE DE AMARRE N°16,42946002,KILOGRAMO,776.0,6475.0,776.0,6475.0
234028.0,OTROS,99999994,UNIDAD,85784.0,3771502.0,77771.0,3330585.0
239768.0,BENTONITA,15400004,KILOGRAMO,500.0,69600.0,16699.94971264368,2324633.0
